Auction Title ,Auction ID,Department ,Close Date ,Winning Bid ,Inventory ID,Vehicle ID,Receipt Number ,Fund
11 Apple Dock Connectors to USB,79849,POLICE STATE FELONY FORFEITURE,12/17/2013,$38.00 ,PSFF-34-054C,,Money Order,Enterprise
5 USB 2.0 Dock Connectors to USB for iPhone,79850,POLICE STATE FELONY FORFEITURE,12/17/2013,$17.00 ,PSFF-34-054D,,3604084399,Enterprise
8 Dock Connectors to USB for iPhone,79851,POLICE STATE FELONY FORFEITURE,12/17/2013,$20.56 ,PSFF-34-054E,,3604173065,Enterprise
8 Dock Connectors to USB for iPhone,79852,POLICE STATE FELONY FORFEITURE,12/17/2013,$20.51 ,PSFF-34-054F,,3604173080,Enterprise
9 Cell Phone Batteries,79859,POLICE STATE FELONY FORFEITURE,12/17/2013,$24.00 ,PSFF-34-057C,,3604199050,Enterprise
13 Cube Stereo Hands Free Adaptors,79860,POLICE STATE FELONY FORFEITURE,12/17/2013,$22.01 ,PSFF-34-057D,,3603313691,Enterprise
2 Gevey Sim Cards,79865,POLICE STATE FELONY FORFEITURE,12/17/2013,$4.50 ,PSFF-24-057I,,3604575703,Enterprise
Sharp Cash Register w/Pin Identifier Unit,79866,POLICE STATE FELONY FORFEITURE,12/17/2013,$20.01 ,PSFF-34-101,,3604575709,Enterprise
Dell Laptop,79874,ITS,12/18/2013,$75.00 ,75417,,3604211088,General Fund
Dell Laptop,79876,ITS,12/18/2013,$73.00 ,75413,,3603336103,General Fund
Dell Laptop,79881,ITS,12/18/2013,$65.00 ,75433,,3604173117,General Fund
Dell Computer System,79883,ITS,12/18/2013,$73.51 ,"75244, 75572",,Money Order,General Fund
Dell Computer System,79885,ITS,12/18/2013,$63.51 ,"75237, 75305",,Money Order,General Fund
8 Chairs,79895,NASHVILLE CONVENTION CTR,12/18/2013,$84.05 ,NCC-74912,,Money Order,Enterprise
7 Rugs,79900,METRO ACTION,12/18/2013,$155.00 ,MAC-74141D,,3604156925,Enterprise
1974 Cadillac Eldorado Convertible,79910,DRUG TASK FORCE,12/17/2013,$410.00 ,TF-311-071,,3604098125,Enterprise
Storage Cabinet,79912,SCHOOL BOARD WAREHOUSE,1/6/2014,$62.00 ,SBS-6210,,3603475402,Enterprise
Winston Warmer,79913,SCHOOL BOARD WAREHOUSE,1/6/2014,$50.00 ,SBS-6217,,Money Order,Enterprise
2 Vollrath Warming Cabinets,79914,SCHOOL BOARD WAREHOUSE,1/6/2014,$125.00 ,SBS-6212,,3603744332,Enterprise
Hobart 512 TMS Slicer,79915,SCHOOL BOARD WAREHOUSE,1/6/2014,$126.99 ,SBS-6205,,Cashiers Check,Enterprise
Hobart 512 Slicer,79918,SCHOOL BOARD WAREHOUSE,1/6/2014,$98.99 ,SBS-6204B,,3603314944,Enterprise
Hobart 512 TMS Slicer,79919,SCHOOL BOARD WAREHOUSE,1/6/2014,$79.99 ,SBS-6204C,,3603314951,Enterprise
Hobart 512 TMS Slicer,79920,SCHOOL BOARD WAREHOUSE,1/6/2014,$34.00 ,SBS-6204D,,Cashiers Check,Enterprise
Hobart 410 Slicer,79921,SCHOOL BOARD WAREHOUSE,1/6/2014,$16.00 ,SBS-6204E,,Money Order,Enterprise
Assorted Kitchen Ware,79922,SCHOOL BOARD WAREHOUSE,1/6/2014,$81.27 ,SBS-6215A,,3603497119,Enterprise
Assorted Kitchen Ware,79924,SCHOOL BOARD WAREHOUSE,1/6/2014,$377.00 ,SBS-6215C,,Money Order,Enterprise
Kitchen Items,79925,SCHOOL BOARD WAREHOUSE,1/6/2014,$33.00 ,SBS-6215D,,3604564037,Enterprise
Kitchen Items,79926,SCHOOL BOARD WAREHOUSE,1/6/2014,$11.00 ,SBS-6215E,,3604564050,Enterprise
Kitchen Ware,79928,SCHOOL BOARD WAREHOUSE,1/6/2014,$243.99 ,SBS-6215G,,3603708376,Enterprise
2 Storage Bins,79929,SCHOOL BOARD WAREHOUSE,1/6/2014,$111.99 ,SBS-6211,,3603497134,Enterprise
Table,79930,SCHOOL BOARD WAREHOUSE,1/6/2014,$111.00 ,SBS-6207A,,3603744565,Enterprise
Table,79931,SCHOOL BOARD WAREHOUSE,1/6/2014,$111.00 ,SBS-6207B,,3603744759,Enterprise
Pressure Washer,79932,SCHOOL BOARD WAREHOUSE,1/6/2014,$105.99 ,SBS-6216,,3603467837,Enterprise
Cash Register,79934,SCHOOL BOARD WAREHOUSE,1/6/2014,$5.01 ,SBS-6201,,3603986223,Enterprise
Cash Register,79935,SCHOOL BOARD WAREHOUSE,1/6/2014,$5.01 ,SBS-6202,,3603986234,Enterprise
Cash Register,79936,SCHOOL BOARD WAREHOUSE,1/6/2014,$5.01 ,SBS-6203,,3603986251,Enterprise
Cash Register,79937,SCHOOL BOARD WAREHOUSE,1/6/2014,$6.00 ,SBS-6200,,3603986272,Enterprise
Milk Cooler,79938,SCHOOL BOARD WAREHOUSE,1/6/2014,$53.10 ,SBS-6198,,3603568496,Enterprise
Table w/3-Drawers,79939,SCHOOL BOARD WAREHOUSE,1/6/2014,$363.00 ,SBS-6208,,3603497149,Enterprise
Desk,79940,SCHOOL BOARD WAREHOUSE,1/6/2014,$52.00 ,SBS-6199,,3603595300,Enterprise
2 Rolling Carts,79941,SCHOOL BOARD WAREHOUSE,1/6/2014,$75.01 ,SBS-6191,,3603817315,Enterprise
Sony VCR & DVD Players,79942,SCHOOL BOARD WAREHOUSE,1/6/2014,$52.00 ,SBS-6188A,,3603495658,Enterprise
DVD & VCR,79943,SCHOOL BOARD WAREHOUSE,1/6/2014,$29.01 ,SBS-6188B,,3603495677,Enterprise
Compact Refrigerator,79944,SCHOOL BOARD WAREHOUSE,1/6/2014,$8.00 ,SBS-6193,,3603943095,Enterprise
Cabinet,79945,NASHVILLE CONVENTION CTR,1/7/2014,$7.00 ,NCC-75595,,3603483230,Enterprise
FWC Warmer,79946,NASHVILLE CONVENTION CTR,1/7/2014,$41.99 ,NCC-75671,,Money Order,Enterprise
True Cooler,79947,NASHVILLE CONVENTION CTR,1/7/2014,$160.75 ,NCC-75723,,3603497374,Enterprise
Amana Commercial Microwave,79948,NASHVILLE CONVENTION CTR,1/7/2014,$27.00 ,NCC-75727,,3603497396,Enterprise
Eagle Stainless Steel Table,79949,NASHVILLE CONVENTION CTR,1/7/2014,$102.00 ,NCC-75726,,3603497413,Enterprise
Star Oven Toaster,79950,NASHVILLE CONVENTION CTR,1/7/2014,$317.00 ,NCC-75725,,Cashiers Check,Enterprise
Eagle Stainless Steel Table,79951,NASHVILLE CONVENTION CTR,1/7/2014,$233.00 ,NCC-75722,,Cashiers Check,Enterprise
Sico Folding Table w/Wheels,79952,NASHVILLE CONVENTION CTR,1/7/2014,$60.01 ,NCC-75659,,3603378757,Enterprise
Wire Rack,79954,NASHVILLE CONVENTION CTR,1/7/2014,$24.69 ,NCC-75724,,3603943217,Enterprise
Perlick Ice Holder,79955,NASHVILLE CONVENTION CTR,1/7/2014,$117.48 ,NCC-75602,,Cashiers Check,Enterprise
Picture,79956,NASHVILLE CONVENTION CTR,1/7/2014,$32.00 ,NCC-75775,,3603491140,Enterprise
15 Ceramic Bowls,79957,NASHVILLE CONVENTION CTR,1/7/2014,$108.00 ,NCC-75649,,3603388403,Enterprise
6 Heath Flow Measurement Rods,79958,WATER SERVICES,1/7/2014,$79.99 ,WS-73877,,3603381573,Enterprise
Hon 2-Drawer File Cabinet,79959,POLICE STATE DRUG FUND,1/7/2014,$22.51 ,PSDF-73731,,3603534226,Enterprise
Fellowes Powershred 320 Shredder,79960,POLICE STATE DRUG FUND,1/7/2014,$88.01 ,PSDF-73617,,3603848754,Enterprise
Lighting Kit w/Case,79961,POLICE STATE DRUG FUND,1/7/2014,$140.00 ,PSDF-73618,,3603810666,Enterprise
1 Pallet of Assorted Keyboard Trays,79962,POLICE STATE DRUG FUND,1/7/2014,$4.01 ,PSDF-73602,,3603391588,Enterprise
Assorted VHS Tapes,79963,POLICE STATE DRUG FUND,1/7/2014,$68.00 ,PSDF-73599,,3603412931,Enterprise
Casio Calculator,79964,FINANCE,1/8/2014,$7.00 ,73635,,3603574563,General Fund
Canon Calculator,79965,FINANCE,1/8/2014,$9.00 ,73636,,3603497432,General Fund
HP Laser Jet 4100dtn,79966,FINANCE,1/8/2014,$47.01 ,73633,,3603476380,General Fund
Printer Stand,79968,METRO ACTION,1/8/2014,$6.00 ,MA-63780,,3603810674,Enterprise
Dell Power Edge 6850 Server,79969,CODES,1/8/2014,$38.99 ,75576,,3604199243,General Fund
CD Rack,79970,PUBLIC LIBRARY,1/8/2014,$21.00 ,75562,,3603473425,General Fund
Elmo 16-CL Optical Projector w/Cart,79971,PUBLIC LIBRARY,1/8/2014,$130.01 ,75564,,3603475436,General Fund
2003 Ford F-450,79976,OFM-WATER SERVICES,1/2/2014,"$9,100.00 ",,31C 041,Cashiers Check,Enterprise
2003 Chevrolet Malibu,79977,OFM-POLICE,1/2/2014,"$2,125.00 ",,P 2938 AL,Cashiers Check,Enterprise
2008 International Cab & Chassis,79978,OFM-FIRE,1/2/2014,"$2,125.00 ",,1479 JG,3603718058,Enterprise
2003 Ford F-450,79979,OFM-WATER SERVICES,1/2/2014,"$9,000.00 ",,31C 039,Cashiers Check,Enterprise
2003 Chevrolet Malibu,79980,OFM-POLICE,1/2/2014,"$2,625.00 ",,P 2905 AL,Cashiers Check,Enterprise
2007 Toyota Camry,79981,POLICE STATE DRUG FUND,1/2/2014,"$5,550.00 ",,07D 4783,Cashiers Check,Enterprise
1996 Honda Accord,79982,POLICE STATE DRUG FUND,1/2/2014,"$1,726.00 ",,07D 4549,Cashiers Check,Enterprise
2005 Buick LeSabre,79983,POLICE STATE GAMBLING FORFEITURE,1/2/2014,"$1,525.00 ",,07G 4696,Cashiers Check,Enterprise
1968 Pontiac Catalina,79986,DRUG TASK FORCE,1/2/2014,"$1,375.00 ",TF-311-068,,Cashiers Check,Enterprise
Beverage Air Refrigerator w/Wheels,79987,NASHVILLE CONVENTION CTR,1/9/2014,$27.01 ,NCC-75729,,Cashiers Check,Enterprise
Hanging Rack,79988,NASHVILLE CONVENTION CTR,1/9/2014,$41.00 ,NCC-75665,,3604056042,Enterprise
Lockwood Coat Rack,79989,NASHVILLE CONVENTION CTR,1/9/2014,$53.60 ,NCC-75594,,3603574580,Enterprise
4 Chairs,79990,NASHVILLE CONVENTION CTR,1/9/2014,$21.00 ,"NCC-75584, NCC-75585, NCC-75586, NCC-75588",,3603788125,Enterprise
3 Chairs,79991,NASHVILLE CONVENTION CTR,1/9/2014,$12.06 ,"NCC-75591, NCC-75592, NCC-75593",,3603788913,Enterprise
Childrens Playset Items,79992,METRO ACTION,1/9/2014,$57.01 ,"MAC-73972, MAC-73990, MAC-73991, MAC-74048, MAC-74092, MAC-74676, MAC-74684, MAC-74705",,3603650687,Enterprise
Podium,79994,METRO ACTION,1/9/2014,$12.00 ,MAC-74074,,3603891882,Enterprise
3 Cambro Food Carts,79995,METRO ACTION,1/9/2014,$308.00 ,MAC-74033,,3603722863,Enterprise
Kid Size U-Shaped Table,79996,METRO ACTION,1/9/2014,$22.01 ,MAC-74158,,3603974335,Enterprise
11 Rugs,79997,METRO ACTION,1/9/2014,$915.00 ,MAC-74142,,Cashiers Check,Enterprise
Care Play Art Easel,79998,METRO ACTION,1/9/2014,$9.50 ,MAC-74076A,,3603839966,Enterprise
Counter w/Sink,79999,METRO ACTION,1/9/2014,$6.00 ,MAC-73971,,3603773024,Enterprise
Pro Cart II Mobile Treatment Console,80000,METRO ACTION,1/9/2014,$156.99 ,MAC-74075,,3603586986,Enterprise
Wooden Shelf,80001,METRO ACTION,1/9/2014,$14.00 ,MAC-72580,,3603583018,Enterprise
10 Chairs,80004,METRO ACTION,1/9/2014,$13.00 ,"MAC-73087, MAC-73656, MAC-73675, MAC-73705, MAC-74093, MAC-74094, MAC-74095, MAC-74097, MAC-74099, MAC-74699",,3603974942,Enterprise
HP Color Laser Jet 4600 Printer,80006,METRO ACTION,1/9/2014,$153.00 ,MAC-73982,,3603827151,Enterprise
Lateral File Cabinet,80008,GENERAL SERVICES,1/9/2014,$81.00 ,70585,,3603585660,General Fund
"3 Sony 18"" Flat Screen Monitors",80009,MDHA,1/9/2014,$25.00 ,"MDHA-60345, MDHA-60346, MDHA-60347",,3604084422,Enterprise
9 Monitor Stands,80010,ECD COMMUNICATIONS,1/9/2014,$17.00 ,"ECD-61275, ECD-61276, ECD-61277, ECD-61278, ECD-61279, ECD-61280, ECD-61281, ECD-61282, ECD-61283",,3603602823,Enterprise
"15 Dell 17"" Flat Screen Monitors",80011,ECD COMMUNICATIONS,1/9/2014,$148.50 ,"ECD-61258, ECD-61259, ECD-61260, ECD-61261, ECD-61262, ECD-61263, ECD-61264, ECD-61265, ECD-61266, ECD-61267, ECD-61268, ECD-61269, ECD-61270, ECD-61271, ECD-61272",,3603602837,Enterprise
11 Dell Computers,80012,ITS,1/9/2014,$371.51 ,"75241, 75240, 75238, 75243, 75182, 75183, 75181, 75184, 75242, 75236, 75185",,Cashiers Check,General Fund
Dell Laptop,80014,ITS,1/9/2014,$76.51 ,74550,,3603602849,General Fund
Dell Laptop,80015,ITS,1/9/2014,$27.00 ,74553,,3603602863,General Fund
Dell Laptop,80017,ITS,1/9/2014,$52.00 ,74555,,3603934086,General Fund
Dell Laptop,80018,ITS,1/9/2014,$57.00 ,74570,,3603592960,General Fund
4 Chairs,80019,NASHVILLE CONVENTION CTR,1/14/2014,$6.00 ,"NCC-75667, NCC-75668, NCC-75669, NCC075670",,Cashiers Check,Enterprise
Bar Stool,80021,NASHVILLE CONVENTION CTR,1/14/2014,$21.00 ,NCC-75776,,3605145144,Enterprise
Table,80022,NASHVILLE CONVENTION CTR,1/14/2014,$27.00 ,NCC-75754,,Money Order,Enterprise
Table,80023,NASHVILLE CONVENTION CTR,1/14/2014,$13.20 ,NCC-75753,,3604077546,Enterprise
Table,80024,WATER SERVICES,1/14/2014,$2.00 ,WS-73909,,3604077700,Enterprise
Table,80025,WATER SERVICES,1/14/2014,$1.00 ,WS-73904,,3603986284,Enterprise
Table,80026,WATER SERVICES,1/14/2014,$2.00 ,WS-73907,,3605003135,Enterprise
Table,80027,WATER SERVICES,1/7/2014,$2.00 ,WS-73908,,3603421222,Enterprise
Table,80028,WATER SERVICES,1/14/2014,$2.00 ,WS-73906,,3605003474,Enterprise
2 Chairs,80029,WATER SERVICES,1/14/2014,$7.00 ,"WS-74864, WS-74863",,Money Order,Enterprise
"Dell 17"" Flat Screen Monitor",80030,WATER SERVICES,1/14/2014,$23.50 ,WS-62259,,3604183839,Enterprise
Table,80031,METRO ACTION,1/14/2014,$1.00 ,MAC-73083,,3603986292,Enterprise
Book Rack,80032,PUBLIC LIBRARY,1/14/2014,$47.00 ,75561,,3603994589,General Fund
Book Rack,80033,PUBLIC LIBRARY,1/14/2014,$27.00 ,75560,,3604402879,General Fund
Dell 2330dn Laser Printer,80035,ITS,1/14/2014,$13.50 ,75962,,3604199260,General Fund
Dell 1250c Printer,80036,ITS,1/14/2014,$7.90 ,75963,,3604402887,General Fund
63 Assorted Dell Computers,80037,ITS,1/14/2014,"$1,250.00 ","75909, 75937, 75956, 75942, 75957, 75917, 75927, 75941, 75914, 75940, 75925, 75958, 75946, 75904, 75913, 75935, 75947, 75916, 75897, 75905, 75948, 75934, 75912, 75921, 75953, 75949, 75951, 75901, 75931, 75939, 75911, 75923, 75899, 75952, 75932, 75922, 759",,3603996536,General Fund
15 Dell Laptops,80038,ITS,1/14/2014,$620.00 ,"73570, 73571, 73572, 73573, 73574, 73575, 73576, 73677, 73578, 73579, 73580, 73581, 73582, 73583, 73584",,3604027642,General Fund
Dell Laptop,80039,ITS,1/14/2014,$47.51 ,73585,,3604199281,General Fund
Dell Laptop,80040,ITS,1/14/2014,$51.51 ,73588,,3604415567,General Fund
Dell Laptop,80041,ITS,1/14/2014,$53.51 ,73589,,3604199292,General Fund
Dell Laptop,80042,ITS,1/14/2014,$33.51 ,73587,,3604415580,General Fund
Dell Laptop,80043,ITS,1/14/2014,$53.51 ,73586,,3604003385,General Fund
View Sonic Laptop,80044,ITS,1/14/2014,$21.00 ,72977,,3604067145,General Fund
3 Wooden Bookshelves,80048,SCHOOL BOARD WAREHOUSE,1/14/2014,$150.00 ,SBS-6143A,,3604443964,Enterprise
3 TV's & Carts,80049,SCHOOL BOARD WAREHOUSE,1/14/2014,$57.00 ,SBS-5999,,3604002153,Enterprise
3 Upright Pianos,80050,SCHOOL BOARD WAREHOUSE,1/14/2014,$103.00 ,SBS-6097,,3604287967,Enterprise
2000 Pontiac Bonneville,80051,POLICE STATE DRUG FUND,1/9/2014,$740.01 ,,,Cashiers Check,Enterprise
2003 Ford Escape,80052,POLICE STATE DRUG FUND,1/9/2014,"$1,325.00 ",,,Cashiers Check,Enterprise
2000 Nissan Sentra,80054,POLICE STATE DRUG FUND,1/9/2014,"$1,010.00 ",,,Cashiers Check,Enterprise
2001 Hyundai Elantra,80055,POLICE STATE DRUG FUND,1/9/2014,"$1,151.35 ",,,Cashiers Check,Enterprise
1997 Infiniti J30,80056,POLICE STATE DRUG FUND,1/9/2014,"$1,800.01 ",,,Cashiers Check,Enterprise
2001 Lincoln Towncar,80057,POLICE STATE DRUG FUND,1/9/2014,"$1,125.00 ",,,Money Order,Enterprise
2001 Ford Excursion,80058,POLICE STATE DRUG FUND,1/9/2014,"$3,530.00 ",,,Cashiers Check,Enterprise
1997 Ford Taurus,80059,POLICE STATE DRUG FUND,1/9/2014,$816.25 ,,,Cashiers Check,Enterprise
1997 Mercury Mountaineer,80061,POLICE STATE DRUG FUND,1/9/2014,$915.00 ,,,Cashiers Check,Enterprise
2007 Dodge Charger,80062,POLICE STATE DRUG FUND,1/9/2014,"$5,649.77 ",,,Cashiers Check,Enterprise
Eyeglasses,80063,DRUG TASK FORCE,1/13/2014,$17.00 ,TF-311-033A,,3603858728,Enterprise
Sunglasses,80064,DRUG TASK FORCE,1/13/2014,$78.00 ,TF-311-033B,,3603873593,Enterprise
Sunglasses,80065,DRUG TASK FORCE,1/13/2014,$67.00 ,TF-311-033C,,3604051724,Enterprise
Sunglasses,80067,DRUG TASK FORCE,1/13/2014,$98.00 ,TF-311-033E,,Cashiers Check,Enterprise
Sunglasses,80069,DRUG TASK FORCE,1/13/2014,$16.00 ,TF-311-033G,,3603886939,Enterprise
Sunglasses w/ Case,80072,DRUG TASK FORCE,1/14/2014,$93.00 ,TF-311-033J,,Cashiers Check,Enterprise
Sunglasses w/ Case,80073,DRUG TASK FORCE,1/14/2014,$28.00 ,TF-311-033K,,3603991153,Enterprise
Sunglasses w/ Case,80074,DRUG TASK FORCE,1/14/2014,$86.00 ,TF-311-033L,,Cashiers Check,Enterprise
Sunglasses w/ Case,80075,DRUG TASK FORCE,1/14/2014,$175.00 ,TF-311-033M,,Cashiers Check,Enterprise
Sunglasses w/ Case,80076,DRUG TASK FORCE,1/14/2014,$88.00 ,TF-311-033N,,Cashiers Check,Enterprise
1 Pallet of Poster Board,80077,SCHOOL BOARD WAREHOUSE,1/15/2014,$105.52 ,SBS-5643H,,3604545608,Enterprise
Nike Air Force One Tennis Shoes. Size: 9-1/2,80078,POLICE STATE DRUG FUND,1/15/2014,$33.00 ,PSDF-24-002HHH,,Money Order,Enterprise
"""Nike"" Air Max 90 - Size 10",80079,DRUG TASK FORCE,1/15/2014,$59.01 ,TF-306-043Z,,3604199063,Enterprise
16 Simple Mobile Sim Cards,80080,POLICE STATE FELONY FORFEITURE,1/15/2014,$1.00 ,PSFF-34-051,,3604586926,Enterprise
4 Chairs,80082,WATER SERVICES,1/15/2014,$16.00 ,"WS-73910, WS-73911, WS-73912, WS-73913",,3604179042,Enterprise
Cube Cell Phone Chargers,80083,POLICE STATE FELONY FORFEITURE,1/16/2014,$21.00 ,PSFF-34-003,,3604998409,Enterprise
Cell Phone Pouches,80084,POLICE STATE FELONY FORFEITURE,1/16/2014,$25.00 ,PSFF-34-034,,3604998439,Enterprise
T-Mobile My Touch Snap On Covers,80086,POLICE STATE FELONY FORFEITURE,1/16/2014,$1.00 ,PSFF-34-019,,3604480392,Enterprise
4 Cib Security Cameras,80087,POLICE STATE FELONY FORFEITURE,1/16/2014,$82.01 ,PSFF-34-008,,3604845229,Enterprise
USB to Dock Connectors for iPhone,80089,POLICE STATE FELONY FORFEITURE,1/16/2014,$83.00 ,PSFF-34-011,,3604998461,Enterprise
HP Desk Jet F4280,80090,POLICE STATE FELONY FORFEITURE,1/16/2014,$15.00 ,PSFF-34-059,,3604655017,Enterprise
Duraband Mobile Phone Car Chargers,80091,POLICE STATE FELONY FORFEITURE,1/16/2014,$27.00 ,PSFF-34-022,,3604998478,Enterprise
Verifone Credit Card Machine,80092,POLICE STATE FELONY FORFEITURE,1/16/2014,$80.00 ,PSFF-34-086,,3604195242,Enterprise
First Data Credit Card Machine,80093,POLICE STATE FELONY FORFEITURE,1/16/2014,$29.00 ,PSFF-34-087,,3604227869,Enterprise
Swann Digital Video Recorder,80094,POLICE STATE FELONY FORFEITURE,1/16/2014,$55.00 ,PSFF-34-085,,3604520449,Enterprise
2005 Chevrolet Tahoe,80095,OFM-FIRE,1/16/2014,"$2,525.00 ",,09A 3493,Cashiers Check,Enterprise
2006 Chevrolet Impala,80096,OFM-POLICE,1/16/2014,"$2,831.00 ",,1215 JF,Cashiers Check,Enterprise
2011 Chevrolet Impala,80097,OFM-POLICE,1/16/2014,$645.00 ,,8096 AJ,3604201494,Enterprise
2001 Chevrolet Malibu,80098,OFM-CODES,1/16/2014,"$1,607.47 ",,P 2687 AJ,3604177890,Enterprise
2003 Ford F-450,80099,OFM-WATER SERVICES,1/16/2014,"$6,350.00 ",,31C 040,Cashiers Check,Enterprise
2004 Chevrolet Tahoe,80100,OFM-POLICE,1/16/2014,"$5,076.00 ",,09A 3442,Cashiers Check,Enterprise
2008 Chevrolet Impala,80101,OFM-POLICE,1/16/2014,$831.00 ,,1406 JG,3604201977,Enterprise
2005 Chevrolet 2500,80102,OFM-WATER SERVICES,1/16/2014,"$3,926.00 ",,31B 5283,Cashiers Check,Enterprise
Cubby,80104,METRO ACTION,1/16/2014,$42.00 ,MAC-74021A,,3604179061,Enterprise
Cubby,80105,METRO ACTION,1/16/2014,$49.00 ,MAC-74021B,,3604267312,Enterprise
Cubby,80107,METRO ACTION,1/16/2014,$23.00 ,MAC-74021D,,3604267325,Enterprise
Cubby,80108,METRO ACTION,1/16/2014,$17.00 ,MAC-74021E,,3604267340,Enterprise
Cubby,80109,METRO ACTION,1/16/2014,$47.00 ,MAC-74021F,,3604189967,Enterprise
23 Child Size Chairs,80110,METRO ACTION,1/16/2014,$52.25 ,"MAC-74172, MAC-74168, MAC-74169, MAC-74170, MAC-74171",,3604443996,Enterprise
Childrens Play Set,80111,METRO ACTION,1/16/2014,$13.00 ,"MAC-74023, MAC-74032, MAC-74137, MAC-74159, MAC-74233, MAC-74235, MAC-74236, MAC-74237",,Money Order,Enterprise
2-Drawer File Cabinet,80112,METRO ACTION,1/16/2014,$28.00 ,MAC-74242,,3604182590,Enterprise
Assorted Cables & Power Strips,80114,NASHVILLE CONVENTION CTR,1/16/2014,$103.00 ,"NCC-74712, NCC-74713, NCC-74714",,3604669762,Enterprise
Filing Cart,80115,WATER SERVICES,1/16/2014,$11.00 ,WS-74741,,3605140643,Enterprise
Battery Pack,80116,NASHVILLE CONVENTION CTR,1/16/2014,$2.00 ,NCC-74710,,Money Order,Enterprise
"Dell 17"" Monitor",80117,NASHVILLE CONVENTION CTR,1/16/2014,$20.75 ,NCC-74709,,3604184093,Enterprise
Car/Truck Jack,80119,SCHOOL BOARD WAREHOUSE,1/21/2014,$205.00 ,SBS-6228,,Money Order,Enterprise
Greaser,80120,SCHOOL BOARD WAREHOUSE,1/21/2014,$130.00 ,SBS-6229,,Cashiers Check,Enterprise
Plastic Trailer,80121,SCHOOL BOARD WAREHOUSE,1/21/2014,$201.01 ,SBS-6230,,3604544314,Enterprise
Transmission Jack,80122,SCHOOL BOARD WAREHOUSE,1/21/2014,$160.00 ,SBS-6227,,3604997380,Enterprise
